associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	Ento	4	30	United States			63.595	-149.608	2018-07-18/2018-08-01	Bombus	shrub		NA		UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:401629?seid=4287839	bee bowl	Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-2251532.68631276, 2855490.96354337)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.595	-149.608	2018-06-20/2018-07-04	Bombus	shrub		NA	sylvicola	UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:399301?seid=4285511	bee bowl	Bombus lapponicus sylvicola		lapponicus	Alaska		idigbio	Bombus sylvicola	c(-2251532.68631276, 2855490.96354337)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.595	-149.608	2018-06-20/2018-07-04	Bombus	shrub		NA	sylvicola	UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:399348?seid=4285558	bee bowl	Bombus lapponicus sylvicola		lapponicus	Alaska		idigbio	Bombus sylvicola	c(-2251532.68631276, 2855490.96354337)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.595	-149.608	2017-07-12/2017-07-26	Bombus	shrub		NA		UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:398824?seid=4285034	bee bowl	Bombus flavidus		flavidus	Alaska		idigbio	Bombus flavidus	c(-2251532.68631276, 2855490.96354337)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.595	-149.608	2017-07-12/2017-07-26	Bombus	shrub		NA		UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:398828?seid=4285038	bee bowl	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2251532.68631276, 2855490.96354337)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.595	-149.608	2017-07-12/2017-07-26	Bombus	shrub		NA		UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:398853?seid=4285063	bee bowl	Bombus flavidus		flavidus	Alaska		idigbio	Bombus flavidus	c(-2251532.68631276, 2855490.96354337)	Alaska Range
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Denali	12	63.475	-150.154		Bombus			NA		USNM	Highway Pass, McKinley Park	7	http://n2t.net/ark:/65665/3907674cc-fafd-4f3e-8cdf-81685a8daa4a		Bombus (Alpinobombus) hyperboreus	Schönherr	hyperboreus	Alaska	1956	idigbio	Bombus hyperboreus	c(-2280559.6205129, 2862328.01039881)	Alaska Range
	PreservedSpecimen	Ento	4	28	United States			63.741	-149.36	2016-07-20/2016-08-02	Bombus	rocky tundra		NA		UAM	Denali NPP, Primrose Ridge, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:396417?seid=4282627	vane trap	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2231225.0558028, 2860308.17727312)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.592	-149.604	2016-07-20/2016-08-03	Bombus	rocky		NA		UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:396577?seid=4282787	vane trap	Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-2251623.03563003, 2855110.60869721)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.592	-149.604	2016-08-04/2016-08-17	Bombus	rocky		NA		UAM	Denali NPP., Igloo Canyon, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:396096?seid=4282306	vane trap	Bombus cryptarum		cryptarum	Alaska		idigbio	Bombus cryptarum	c(-2251623.03563003, 2855110.60869721)	Alaska Range
	PreservedSpecimen	Ento	4	28	United States			63.502	-150.103	2016-08-04/2016-08-17	Bombus	rocky		NA		UAM	Denali NPP, nr Toklat, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:395785?seid=4281995	vane trap	Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-2276605.41083969, 2863019.39869013)	Alaska Range
	PreservedSpecimen	Ento	4	28	United States			63.502	-150.103	2016-08-04/2016-08-17	Bombus	rocky		NA		UAM	Denali NPP, nr Toklat, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:395843?seid=4282053	vane trap	Bombus insularis		insularis	Alaska		idigbio	Bombus insularis	c(-2276605.41083969, 2863019.39869013)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.735	-148.929	2018-07-17/2018-07-31	Bombus	forest		NA		UAM	Denali NPP., Mt. Healy, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:401710?seid=4287920	vane trap	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2216147.10794335, 2846584.23954172)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.735	-148.929	2018-07-03/2018-07-17	Bombus	forest		NA		UAM	Denali NPP., Mt. Healy, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:401006?seid=4287216	vane trap	Bombus cryptarum		cryptarum	Alaska		idigbio	Bombus cryptarum	c(-2216147.10794335, 2846584.23954172)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.735	-148.929	2018-07-03/2018-07-17	Bombus	forest		NA		UAM	Denali NPP., Mt. Healy, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:401030?seid=4287240	vane trap	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2216147.10794335, 2846584.23954172)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.735	-148.929	2017-06-27/2017-07-11	Bombus	forest		NA		UAM	Denali NPP., Mt. Healy, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:398271?seid=4284481	bee bowl	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2216147.10794335, 2846584.23954172)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.735	-148.929	2017-06-27/2017-07-11	Bombus	forest		NA		UAM	Denali NPP., Mt. Healy, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:398274?seid=4284484	bee bowl	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2216147.10794335, 2846584.23954172)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.735	-148.929	2017-06-13/2017-06-27	Bombus	forest		NA		UAM	Denali NPP., Mt. Healy, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:398365?seid=4284575	bee bowl	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2216147.10794335, 2846584.23954172)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.735	-148.929	2017-07-11/2017-07-28	Bombus	forest		NA		UAM	Denali NPP., Mt. Healy, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:397781?seid=4283991	bee bowl	Bombus cryptarum		cryptarum	Alaska		idigbio	Bombus cryptarum	c(-2216147.10794335, 2846584.23954172)	Alaska Range
	PreservedSpecimen	Ento	4	50	United States		14	63.737	-148.915	2012-07-14	Bombus			NA		UAM	Denali NPP, Park road, RR Xing, Denali National Park and Preserve	07	http://arctos.database.museum/guid/UAM:Ento:290533?seid=2383077	aerial net	Bombus insularis		insularis	Alaska	2012	idigbio	Bombus insularis	c(-2215485.88417719, 2846328.77725339)	Alaska Range
	PreservedSpecimen	Ento	4	30	United States			63.556	-150.978	2018-07-20/2018-08-02	Bombus	tundra		NA		UAM	Denali NPP., Wickersham Dome, Denali National Park and Preserve		http://arctos.database.museum/guid/UAM:Ento:401375?seid=4287585	vane trap	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2303431.48483467, 2895231.32167126)	Alaska Range
	PreservedSpecimen	Ento	4	50	United States		30	63.525	-150.046	2012-06-30	Bombus			NA		UAM	Denali NPP, Toklat Road Camp, Denali National Park and Preserve	06	http://arctos.database.museum/guid/UAM:Ento:290567?seid=2384458	aerial net	Bombus flavifrons		flavifrons	Alaska	2012	idigbio	Bombus flavifrons	c(-2272752.58001305, 2863186.39305818)	Alaska Range
	PreservedSpecimen	Ento	4	10	United States		26	63.739	-145.599	2010-08-26	Bombus			NA		UAM	McCumber Cr., 33mi loop trail	08	http://arctos.database.museum/guid/UAM:Ento:144944?seid=610889		Bombus cryptarum		cryptarum	Alaska	2010	idigbio	Bombus cryptarum	c(-2092349.42216106, 2748264.85333265)	Alaska Range
	PreservedSpecimen	Ento	4	50	United States		09	63.558	-149.785	2012-07-09	Bombus			NA		UAM	Denali NPP, East Fork Cabin, Denali National Park and Preserve	07	http://arctos.database.museum/guid/UAM:Ento:290037?seid=2372760	bee bowl	Bombus frigidus		frigidus	Alaska	2012	idigbio	Bombus frigidus	c(-2260793.91288078, 2857838.81720459)	Alaska Range
