associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	Ento	4	3000	United States		19	70.467	-157.383	1971-07-19	Bombus			NA		UAM	Meade River	07	http://arctos.database.museum/guid/UAM:Ento:122173?seid=457464		Bombus polaris		polaris	Alaska	1971	idigbio	Bombus polaris	c(-1894495.1343729, 3625761.9319367)	Arctic Coastal Plain
	PreservedSpecimen	Ento	4	3000	United States		22	70.467	-157.383	1971-07-22	Bombus			NA		UAM	Meade River	07	http://arctos.database.museum/guid/UAM:Ento:120854?seid=143177		Bombus polaris		polaris	Alaska	1971	idigbio	Bombus polaris	c(-1894495.1343729, 3625761.9319367)	Arctic Coastal Plain
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	North Slope	5	71.389	-156.479		Bombus			NA		USNM	Point Barrow	8	http://n2t.net/ark:/65665/34923d823-493c-4d79-bafa-83a5ec7cdd30		Bombus (Pyrobombus) sylvicola	Kirby	sylvicola	Alaska	1952	idigbio	Bombus sylvicola	c(-1789386.66412476, 3668770.79632066)	Arctic Coastal Plain
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	North Slope	11	71.389	-156.479		Bombus			NA		USNM	Point Barrow	7	http://n2t.net/ark:/65665/3e997580b-8e9e-45e9-b6fd-a51527d50df4		Bombus (Alpinobombus) hyperboreus	Schönherr	hyperboreus	Alaska	1952	idigbio	Bombus hyperboreus	c(-1789386.66412476, 3668770.79632066)	Arctic Coastal Plain
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	North Slope	11	71.389	-156.479		Bombus			NA		USNM	Point Barrow	7	http://n2t.net/ark:/65665/3b73dbe37-ff8a-4228-bb9c-95f665946323		Bombus (Alpinobombus) polaris	Curtis	polaris	Alaska	1952	idigbio	Bombus polaris	c(-1789386.66412476, 3668770.79632066)	Arctic Coastal Plain
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	North Slope	6	71.389	-156.479		Bombus			NA		USNM	Point Barrow	8	http://n2t.net/ark:/65665/342d923ce-d122-4d2c-8db4-079162eb73ee		Bombus (Alpinobombus) polaris	Curtis	polaris	Alaska	1952	idigbio	Bombus polaris	c(-1789386.66412476, 3668770.79632066)	Arctic Coastal Plain
	PreservedSpecimen	Ento	4	3000	United States		17	70.467	-157.383	1971-07-17	Bombus			NA	sylvicola	UAM	Meade River	07	http://arctos.database.museum/guid/UAM:Ento:122169?seid=558411		Bombus lapponicus sylvicola		lapponicus	Alaska	1971	idigbio	Bombus sylvicola	c(-1894495.1343729, 3625761.9319367)	Arctic Coastal Plain
	PreservedSpecimen	EMEC			United States			70.75	-156.5	1966-07-24	Bombus			NA		EMEC	nr Meade River		urn:catalog:EMEC:EMEC:552392		Bombus balteatus		balteatus	Alaska		idigbio	Bombus balteatus	c(-1848217.52048254, 3622834.94570081)	Arctic Coastal Plain
	PreservedSpecimen	EMEC		1000.0000	United States	North Slope County		71.388	-156.481	1952-08-05	Bombus			NA		EMEC	Point Barrow		urn:catalog:EMEC:EMEC:562902		Bombus sylvicola		sylvicola	Alaska		idigbio	Bombus sylvicola	c(-1789522.79908444, 3668749.17341868)	Arctic Coastal Plain
	PreservedSpecimen	EMEC		1000.0000	United States	North Slope County		71.388	-156.481	1952-08-09	Bombus			NA		EMEC	Point Barrow		urn:catalog:EMEC:EMEC:562913		Bombus sylvicola		sylvicola	Alaska		idigbio	Bombus sylvicola	c(-1789522.79908444, 3668749.17341868)	Arctic Coastal Plain
