associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	ENT		1248	USA	Transylvania County	20	35.144	-82.821	1984-08-20	Bombus			NA		YPM	Rosman	8	urn:uuid:fbc4ba63-3f6d-4214-a107-45d3265742a9		Bombus impatiens	Cresson	impatiens	North Carolina	1984	idigbio	Bombus impatiens	c(1554542.54431716, -935730.90185315)	Blue Ridge
	preservedspecimen	USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml	25000 meters	USA	Ashe		36.387	-81.561	2014-08-17				NA		BISON			http://www.discoverlife.org/mp/20l?id=USGS_DRO381577	trapType:pan trap; trapCount:90; trapVolume:bowl 3.25oz; trapColor:in field note; trapLiquid:soap dawn	Halictus confusus			North Carolina	2014	idigbio	Halictus confusus	c(1638903.17194541, -775826.319375949)	Blue Ridge
	PreservedSpecimen				UNITED STATES	Yancey		35.794	-82.257		Hylaeus			NA		AMNH	Black Mountains		urn:uuid:ea84608a-76fe-11e3-935e-0026552be7ea	Netting	Hylaeus modestus modestus	Say,1837	modestus modestus	North Carolina		idigbio	Hylaeus affinis/modestus	c(1590893.04204336, -854065.661123739)	Blue Ridge
	PreservedSpecimen				UNITED STATES	Yancey		35.794	-82.257		Andrena			NA		AMNH	Black Mountains		urn:uuid:84af1d88-d8e1-11e2-99a2-0026552be7ea	Netting	Andrena ceanothi	Viereck,1917	ceanothi	North Carolina		idigbio	Andrena ceanothi	c(1590893.04204336, -854065.661123739)	Blue Ridge
associated with:Amorpha fruticosa	PreservedSpecimen				UNITED STATES	Yancey		35.794	-82.257	1927-05-17	Andrena			NA		AMNH	Black Mountains		urn:uuid:84010f68-d8e1-11e2-99a2-0026552be7ea	Netting	Andrena pruni	Robertson,1891	pruni	North Carolina	1927	idigbio	Andrena pruni	c(1590893.04204336, -854065.661123739)	Blue Ridge
	PreservedSpecimen				UNITED STATES	Yancey		35.792	-82.31	1906-06-24	Halictus			NA		AMNH	Valley of Black Mountains		urn:uuid:844b1a22-d8e1-11e2-99a2-0026552be7ea	Netting	Halictus rubicundus	(Christ,1791)	rubicundus	North Carolina	1906	idigbio	Halictus rubicundus	c(1586270.22837232, -855288.254390341)	Blue Ridge
	PreservedSpecimen	Insects			United States			35.583	-83.508	1940-06-20	Andrena			NA		OSUC	Great Smoky Mountains, TN		urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__126450	none specified	Andrena vicina		vicina	Tennessee		idigbio	Andrena vicina	c(1484741.42898039, -900079.353496662)	Blue Ridge
	PreservedSpecimen	ENT		44432	USA	Rappahannock County	26	38.333	-78.602	1970-05-26	Bombus			NA		YPM	Shenandoah National Park, Mile 35	5	urn:uuid:d3c40cf5-f04a-476a-b41c-c9a9e8eeec31		Bombus sandersoni		sandersoni	Virginia	1970	idigbio	Bombus sandersoni	c(1844184.72322627, -501751.566222775)	Blue Ridge
	PreservedSpecimen	ENT		8077	USA	Sevier County	30	35.714	-83.51	1967-06-30	Bombus			NA		YPM	Gatlinburg	6	urn:uuid:f1fae205-73d1-4667-aa0b-8576b3ea63fb		Bombus vagans	Smith	vagans	Tennessee	1967	idigbio	Bombus vagans	c(1481976.92650382, -885763.121346988)	Blue Ridge
	PreservedSpecimen	ENT		1248	USA	Transylvania County	20	35.144	-82.821	1984-08-20	Bombus			NA		YPM	Rosman	8	urn:uuid:2c4372b9-d659-4893-832f-d43f980c0fe3		Bombus impatiens	Cresson	impatiens	North Carolina	1984	idigbio	Bombus impatiens	c(1554542.54431716, -935730.90185315)	Blue Ridge
	PreservedSpecimen	ENT		5176	USA	Yancey County	28	35.765	-82.265	1967-06-28	Bombus			NA		YPM	Mount Mitchell	6	urn:uuid:fae8329f-5c82-4e17-a0c8-18606cd83bb2		Bombus impatiens	Cresson	impatiens	North Carolina	1967	idigbio	Bombus impatiens	c(1590806.00772313, -857388.706943757)	Blue Ridge
	PreservedSpecimen	ENT		44432	USA	Rappahannock County	26	38.333	-78.602	1970-05-26	Bombus			NA		YPM	Shenandoah National Park, Mile 35	5	urn:uuid:642151e3-7ffc-4e2c-a944-16a304f17d4d		Bombus sandersoni		sandersoni	Virginia	1970	idigbio	Bombus sandersoni	c(1844184.72322627, -501751.566222775)	Blue Ridge
	PreservedSpecimen	ENT		5176	USA	Yancey County	28	35.765	-82.265	1967-06-28	Bombus			NA		YPM	Mount Mitchell	6	urn:uuid:4b628425-92d0-493e-928e-51cbf4964e5e		Bombus affinis	Cresson	affinis	North Carolina	1967	idigbio	Bombus affinis	c(1590806.00772313, -857388.706943757)	Blue Ridge
	PreservedSpecimen	ENT		2260	USA	Rabun County	17	34.875	-83.401	1984-08-17	Xylocopa			NA		YPM	0.2 mi. S. of Clayton, US Route 441	8	urn:uuid:0096d1b3-e2e4-450a-a842-2614a2d107af		Xylocopa virginica	(L.)	virginica	Georgia	1984	idigbio	Xylocopa virginica	c(1508203.69934128, -975725.360494347)	Blue Ridge
	PreservedSpecimen	ENT		44432	USA	Rappahannock County	26	38.333	-78.602	1970-05-26	Bombus			NA		YPM	Shenandoah National Park, Mile 35	5	urn:uuid:f71b80c3-4c5b-40f0-9506-4165a23be1ff		Bombus sandersoni		sandersoni	Virginia	1970	idigbio	Bombus sandersoni	c(1844184.72322627, -501751.566222775)	Blue Ridge
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Loudoun	3	39.111	-77.834		Bombus			NA		USNM	Bluemont	9	http://n2t.net/ark:/65665/310fed3f5-afa5-4813-a6c3-0bba8d6b07cd		Bombus (Psithyrus) citrinus	(Smith)	citrinus	Virginia	1916	idigbio	Bombus citrinus	c(1886850.75496246, -399944.850858788)	Blue Ridge
	PreservedSpecimen	ENT		5176	USA	Yancey County	28	35.765	-82.265	1967-06-28	Bombus			NA		YPM	Mount Mitchell	6	urn:uuid:46034864-153a-4de9-b59a-5c54d87c3c5e		Bombus impatiens	Cresson	impatiens	North Carolina	1967	idigbio	Bombus impatiens	c(1590806.00772313, -857388.706943757)	Blue Ridge
	PreservedSpecimen	ENT		1248	USA	Transylvania County	20	35.144	-82.821	1984-08-20	Bombus			NA		YPM	Rosman	8	urn:uuid:0b26181e-edde-4516-a0a7-65e06f35ee87		Bombus impatiens	Cresson	impatiens	North Carolina	1984	idigbio	Bombus impatiens	c(1554542.54431716, -935730.90185315)	Blue Ridge
	PreservedSpecimen	ENT		5176	USA	Yancey County	28	35.765	-82.265	1967-06-28	Bombus			NA		YPM	Mount Mitchell	6	urn:uuid:5c5f7b4b-c27f-4926-b0c0-9da2bba2e093		Bombus terricola	Kirby	terricola	North Carolina	1967	idigbio	Bombus terricola	c(1590806.00772313, -857388.706943757)	Blue Ridge
	PreservedSpecimen	ENT		2260	USA	Rabun County	17	34.875	-83.401	1984-08-17	Xylocopa			NA		YPM	0.2 mi. S. of Clayton, US Route 441	8	urn:uuid:4cdb9ae8-954e-44b0-b6bc-dee0aadda1e3		Xylocopa virginica	(L.)	virginica	Georgia	1984	idigbio	Xylocopa virginica	c(1508203.69934128, -975725.360494347)	Blue Ridge
	PreservedSpecimen	ENT		44432	USA	Rappahannock County	26	38.333	-78.602	1970-05-26	Bombus			NA		YPM	Shenandoah National Park, Mile 35	5	urn:uuid:dee7360a-fc7c-4b83-b3c0-415d89963ed3		Bombus sandersoni		sandersoni	Virginia	1970	idigbio	Bombus sandersoni	c(1844184.72322627, -501751.566222775)	Blue Ridge
