associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Pierce	17	47.05	-122.12		Bombus			NA		USNM	[Not Stated]	7	http://n2t.net/ark:/65665/30e021e2f-cd43-427f-bc98-5bf1131a8f6f		Bombus (Pyrobombus) melanopygus	Nylander	melanopygus	Washington	1970	idigbio	Bombus melanopygus	c(-1649526.79032444, 457977.4236466)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Linn	4	44.674	-121.799		Bombus			NA		USNM	Whitewater Ridge, Mount Jefferson	8	http://n2t.net/ark:/65665/32f64ec02-a3dc-45d5-9950-223306b47292		Bombus (Fervidobombus) californicus	Smith	californicus	Oregon	1907	idigbio	Bombus californicus	c(-1697758.94119893, 194588.59585554)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Lane	25	44.26	-121.81		Bombus			NA		USNM	McKenzie Ridge, High Cascade Mountains	7	http://n2t.net/ark:/65665/398424893-1ff9-42a1-9231-3c707186b9ba		Bombus (Pyrobombus) sitkensis	Nylander	sitkensis	Oregon	1909	idigbio	Bombus sitkensis	c(-1710820.35346392, 150027.651792105)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Pierce	7	47.05	-122.12		Bombus			NA		USNM	[Not Stated]	7	http://n2t.net/ark:/65665/3382309af-1803-46ec-98ff-287b599acffc		Bombus (Pyrobombus) melanopygus	Nylander	melanopygus	Washington	1970	idigbio	Bombus melanopygus	c(-1649526.79032444, 457977.4236466)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Lewis	2	46.58	-122.4		Bombus			NA		USNM	[Not Stated]	7	http://n2t.net/ark:/65665/338c86823-244a-41ae-a20c-52cc085800ef		Bombus (Bombus) occidentalis	Greene	occidentalis	Washington	1970	idigbio	Bombus occidentalis	c(-1684401.2876617, 413150.379278448)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Lane	22	44	-121.873		Bombus			NA		USNM	Horse Lake, Cascade Mountains	7	http://n2t.net/ark:/65665/33e3e9fa9-70f7-410a-ac6c-fabfc0464f7e		Bombus (Pyrobombus) melanopygus	Nylander	melanopygus	Oregon	1909	idigbio	Bombus melanopygus	c(-1723280.4168268, 123233.978013813)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Pierce	7	47.05	-122.12		Bombus			NA	nearcticus	USNM	[Not Stated]	7	http://n2t.net/ark:/65665/340aeed95-1e39-4fe5-8180-c1c6b2bee457		Bombus bifarius nearcticus		bifarius	Washington	1970	idigbio	Bombus bifarius	c(-1649526.79032444, 457977.4236466)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Linn	27	44.654	-121.845		Bombus			NA		USNM	Pamelia Lake, Mount Jefferson	7	http://n2t.net/ark:/65665/334b14d5c-f3da-45b2-9d1b-8b49c0abdbdd		Bombus (Bombus) occidentalis	Greene	occidentalis	Oregon	1907	idigbio	Bombus occidentalis	c(-1701824.7282826, 193397.452599267)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Linn	25	44.654	-121.845		Bombus			NA		USNM	Pamelia Lake at Mount Jefferson	7	http://n2t.net/ark:/65665/38d2fb40a-bd5f-4a8a-b3c3-a9cbdc429def		Bombus (Pyrobombus) bifarius	Cresson	bifarius	Oregon	1907	idigbio	Bombus bifarius	c(-1701824.7282826, 193397.452599267)	Cascades
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Linn	20	44.674	-121.802		Bombus			NA		USNM	Milk Creek Glacier, Moraine, Mount Jefferson	7	http://n2t.net/ark:/65665/39dc1e253-885f-4678-bef8-cec9c15344e5		Bombus (Pyrobombus) bifarius	Cresson	bifarius	Oregon	1907	idigbio	Bombus bifarius	c(-1697985.4287545, 194651.942369277)	Cascades
