associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	ENT		20032	USA	Taylor County	18	32.449	-99.733	1943-09-18	Xylocopa			NA		YPM	Camp Barkeley, near Abilene	9	urn:uuid:59d08cde-60ee-4c3e-a903-1e19e745d3d4		Xylocopa virginica	(L.)	virginica	Texas	1943	idigbio	Xylocopa virginica	c(25204.6462894266, -1392778.91786618)	Central Great Plains
	PreservedSpecimen	RINVRT		13335.0	United States	Comanche	27	34.753	-98.669	27 June 1932	Bombus			NA		OMNH	Wichita Mountains Wildlife Refuge	6	urn:catalog:OMNH:RINVRT:16096		Bombus auricomus	(Robertson, 1903)	auricomus	Oklahoma	1932	idigbio	Bombus auricomus	c(122081.279927275, -1136938.20572933)	Central Great Plains
	PreservedSpecimen	ENT		20032	USA	Taylor County	4	32.449	-99.733	1943-09-04	Agapostemon			NA		YPM	Camp Barkeley, near Abilene	9	urn:uuid:7f626451-f491-4317-a73e-a4c8d2ddbc02		Agapostemon melliventris	Cresson	melliventris	Texas	1943	idigbio	Agapostemon melliventris	c(25204.6462894266, -1392778.91786618)	Central Great Plains
	PreservedSpecimen	RINVRT		21424.0	United States	Cleveland	18	35.222	-97.439	18 April 1953	Bombus			NA		OMNH	Norman	4	urn:catalog:OMNH:RINVRT:16149		Bombus pensylvanicus	(De Geer, 1773)	pensylvanicus	Oklahoma	1953	idigbio	Bombus pensylvanicus	c(233441.040233093, -1082412.66598774)	Central Great Plains
	PreservedSpecimen	ENT		8351	USA	Hall County	5	40.926	-98.419	1970-09-05	Bombus			NA		YPM	4 mi. W. of Grand Island	9	urn:uuid:932ef493-e196-4692-8741-e8992bb90d34		Bombus pensylvanicus	(DeGeer)	pensylvanicus	Nebraska	1970	idigbio	Bombus pensylvanicus	c(132899.999650973, -451638.919788061)	Central Great Plains
	PreservedSpecimen	ENT		20032	USA	Taylor County	1	32.449	-99.733	1943-08-01	Halictus			NA		YPM	Camp Barkeley, near Abilene	8	urn:uuid:3e79e081-77ce-4b31-8a62-817ef6fcc05f		Halictus ligatus	Say	ligatus	Texas	1943	idigbio	Halictus ligatus	c(25204.6462894266, -1392778.91786618)	Central Great Plains
	PreservedSpecimen	ENT		2201	USA	Sumner County	2	37.022	-97.62	1975-07-02	Lasioglossum			NA		YPM	1 mi. S.W. of Caldwell	7	urn:uuid:8c0e14b7-615f-4359-bc69-95370533be68		Lasioglossum connexum	(Cresson)	connexum	Kansas	1975	idigbio	Lasioglossum connexum	c(211770.88715588, -883394.131450421)	Central Great Plains
	PreservedSpecimen	ENT		8351	USA	Hall County	5	40.926	-98.419	1970-09-05	Bombus			NA		YPM	4 mi. W. of Grand Island	9	urn:uuid:d4abf4db-196b-4b36-a74c-2fa686d910b2		Bombus pensylvanicus	(DeGeer)	pensylvanicus	Nebraska	1970	idigbio	Bombus pensylvanicus	c(132899.999650973, -451638.919788061)	Central Great Plains
	PreservedSpecimen	ENT		20032	USA	Taylor County	3	32.449	-99.733	1943-10-03	Lasioglossum			NA		YPM	Camp Barkeley, near Abilene	10	urn:uuid:2444ce01-e8cc-4e8b-926e-3bba278fbcdc		Lasioglossum pruinosiforme	(Crawford)	pruinosiforme	Texas	1943	idigbio	Lasioglossum semicaeruleum	c(25204.6462894266, -1392778.91786618)	Central Great Plains
	PreservedSpecimen	ENT		2201	USA	Sumner County	2	37.022	-97.62	1975-07-02	Bombus			NA		YPM	1 mi. S.W. of Caldwell	7	urn:uuid:1ce1ddff-03dc-4126-ad81-13452807a7a6		Bombus auricomus	(Robertson)	auricomus	Kansas	1975	idigbio	Bombus auricomus	c(211770.88715588, -883394.131450421)	Central Great Plains
	PreservedSpecimen	Insects			United States	Platte		41.43	-97.368		Colletes			NA		OSUC	Columbus, Platte Co., NE		urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__124663	none specified	Colletes phaceliae		phaceliae	Nebraska		idigbio	Colletes phaceliae	c(219489.867097722, -393391.643257264)	Central Great Plains
	PreservedSpecimen	ENT		2201	USA	Sumner County	2	37.022	-97.62	1975-07-02	Lasioglossum			NA		YPM	1 mi. S.W. of Caldwell	7	urn:uuid:141c0738-a1d6-4391-80aa-e101a8e72239		Lasioglossum imitatum	(Walker)	imitatum	Kansas	1975	idigbio	Lasioglossum imitatum	c(211770.88715588, -883394.131450421)	Central Great Plains
	PreservedSpecimen	ENT		20032	USA	Taylor County	15	32.449	-99.733	1943-08-15	Svastra			NA		YPM	Camp Barkeley, near Abilene	8	urn:uuid:bb53da5d-d921-4320-931d-2ca6885ea275		Svastra texana	(Cresson)	texana	Texas	1943	idigbio	Svastra texana	c(25204.6462894266, -1392778.91786618)	Central Great Plains
	PreservedSpecimen	Insects			United States	Payne		36.116	-97.058	1963-07-17	Bombus			NA		OSUC	Stillwater, Payne Co., OK		urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__81860	none specified	Bombus pensylvanicus		pensylvanicus	Oklahoma		idigbio	Bombus pensylvanicus	c(264998.10308155, -982241.028993641)	Central Great Plains
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Taylor	5	32.42	-99.857	2001-07-05	Halictus			NA		TAMU	Dyess Air Force Base, Plot 2	7	ea30f564-79e4-4a12-83c0-9ee3387e0760	yellow pan trap	Halictus tripartitus	Cockerell, 1895	tripartitus	Texas	2001	idigbio	Halictus tripartitus	c(13503.8555086396, -1396012.18578403)	Central Great Plains
