associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen				UNITED STATES	Douglas		38.972	-95.235	1952-08-26	Bombus			NA		AMNH	Lawrence		urn:uuid:835bf186-d8e1-11e2-99a2-0026552be7ea	Netting	Bombus fraternus	(Smith,1854)	fraternus	Kansas	1952	idigbio	Bombus fraternus	c(412220.35884401, -658165.35498196)	Central Irregular Plains
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Douglas		38.778	-95.188		Bombus			NA	fervidus	USNM	Baldwin		http://n2t.net/ark:/65665/32d31d508-5342-45fc-bff6-751e72d99dc2		Bombus (Fervidobombus) fervidus fervidus	(Fabricius)	fervidus	Kansas		idigbio	Bombus fervidus	c(417457.010638227, -679448.787632114)	Central Irregular Plains
	PreservedSpecimen	ENT		4225	USA	Crawford County	25	37.411	-94.73	1971-05-25	Bombus			NA		YPM	1 mi. W. of Pittsburg	5	urn:uuid:10f228d6-9599-4993-8c90-1019305f99eb		Bombus auricomus	(Robertson)	auricomus	Kansas	1971	idigbio	Bombus auricomus	c(466099.318845127, -828576.348278547)	Central Irregular Plains
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Douglas	4	38.778	-95.188		Bombus			NA	fervidus	USNM	Baldwin	7	http://n2t.net/ark:/65665/39d196025-9b66-4923-b500-e66bf42ee7c5		Bombus (Fervidobombus) fervidus fervidus	(Fabricius)	fervidus	Kansas	1906	idigbio	Bombus fervidus	c(417457.010638227, -679448.787632114)	Central Irregular Plains
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	1411	USA	Crawford	11	37.544	-94.7	1951-06-11	Bombus			NA		MSU	Arma	6	b8096d65-0b00-4b8d-a017-9f4cb5b3f83a		Bombus pensylvanicus	(De Geer, 1773)	pensylvanicus	Kansas	1951	idigbio	Bombus pensylvanicus	c(467878.522331451, -813670.461412839)	Central Irregular Plains
	PreservedSpecimen	ENT		3701	USA	Crawford County	25	37.411	-94.705	1971-05-25	Bombus			NA		YPM	Pittsburg	5	urn:uuid:0aa58750-223c-4ae3-96c4-ef2748f5c55d		Bombus pensylvanicus	(DeGeer)	pensylvanicus	Kansas	1971	idigbio	Bombus pensylvanicus	c(468306.789186815, -828436.89994876)	Central Irregular Plains
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Douglas	26	38.778	-95.188		Bombus			NA	pensylvanicus	USNM	Baldwin	8	http://n2t.net/ark:/65665/38df9191e-9e28-46f3-ab36-93a37e1268dd		Bombus (Fervidobombus) pensylvanicus pensylvanicus	(De Geer)	pensylvanicus	Kansas	1906	idigbio	Bombus pensylvanicus	c(417457.010638227, -679448.787632114)	Central Irregular Plains
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Douglas		38.778	-95.188		Bombus			NA	pensylvanicus	USNM	Baldwin		http://n2t.net/ark:/65665/39dac73a9-2b46-4d59-bf24-1ae208a08697		Bombus (Fervidobombus) pensylvanicus pensylvanicus	(De Geer)	pensylvanicus	Kansas		idigbio	Bombus pensylvanicus	c(417457.010638227, -679448.787632114)	Central Irregular Plains
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Douglas	5	38.778	-95.188		Bombus			NA	fervidus	USNM	Baldwin	10	http://n2t.net/ark:/65665/38a633b72-6b03-40bd-866f-3d9c975fb5de		Bombus (Fervidobombus) fervidus fervidus	(Fabricius)	fervidus	Kansas	1900	idigbio	Bombus fervidus	c(417457.010638227, -679448.787632114)	Central Irregular Plains
	PreservedSpecimen	ENT		6718	USA	Douglas County	1	39.014	-95.293	1979-10-01	Bombus			NA		YPM	6 mi. N.W. of Lawrence	10	urn:uuid:61a8cdf2-2fc9-4272-a08d-49db921111f3		Bombus pensylvanicus	(DeGeer)	pensylvanicus	Kansas	1979	idigbio	Bombus pensylvanicus	c(406959.909757037, -653792.155648357)	Central Irregular Plains
