associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	ENT		4443	USA	Delta County	29	38.8	-107.682	1970-08-29	Bombus			NA		YPM	2 mi. E. of Hotchkiss	8	urn:uuid:f0539b0a-ad91-4652-a9a2-05ecfaee031b		Bombus fervidus	(Fabr.)	fervidus	Colorado	1970	idigbio	Bombus fervidus	c(-665515.464406927, -658333.163667401)	Colorado Plateaus
	PreservedSpecimen	ENT		6615	USA	Montrose County	10	38.442	-108.835	1979-08-10	Bombus			NA		YPM	Mesa Creek, 16 km. N.W. of Uravan	8	urn:uuid:22c04394-1bba-482a-af21-8ad1814df8d0		Bombus morrisoni	Cresson	morrisoni	Colorado	1979	idigbio	Bombus morrisoni	c(-768937.733509226, -688018.122684525)	Colorado Plateaus
Cleome lutea at dusk	PreservedSpecimen	CSUC	6ca25e61-71fe-4605-848f-86f9b72a87df	613	United States	Uintah	12	40.441	-109.302	1978-06-12	Bombus			NA		CSU	Dinosaur National Monument, Quarry Area	6	582bd42e-063f-4fec-9e95-bb65317daa3f		Bombus morrisoni	Cresson, 1878	morrisoni	Utah	1978	idigbio	Bombus morrisoni	c(-785766.295922869, -462502.175179294)	Colorado Plateaus
	PreservedSpecimen	ASUHIC	71ca74c2-208d-4784-998f-6f7ecc6ec090	2000	United States	Coconino County	11	36.946	-112.527	1966-06-11	Osmia			NA		ASU	Fredonia	6	697cd44b-5f8c-4a5c-82c6-24dc205b7642		Osmia coloradensis	Cresson, 1878	coloradensis	Arizona	1966	idigbio	Osmia coloradensis	c(-1110885.99796839, -811651.110851129)	Colorado Plateaus
	PreservedSpecimen	ENT		6984	USA	Mesa County	12	38.961	-108.326	1964-08-12	Bombus			NA		YPM	Land's End Road	8	urn:uuid:3eea663f-cd96-4674-854f-8e0924edc75a		Bombus bifarius	Cresson	bifarius	Colorado	1964	idigbio	Bombus bifarius	c(-719397.053158029, -635146.659135889)	Colorado Plateaus
	PreservedSpecimen	ENT		301	USA	Gunnison County	7	38.066	-108.537	1978-08-07	Bombus			NA		YPM	Queen Basin	8	urn:uuid:68b41eb4-3184-4a4c-80f0-3725f808aab6		Bombus balteatus	Dahlborn)	balteatus	Colorado	1978	idigbio	Bombus balteatus	c(-747122.005311574, -732319.563393653)	Colorado Plateaus
	PreservedSpecimen	ENT		301	USA	Gunnison County	28	38.066	-108.537	1977-07-28	Bombus			NA		YPM	Queen Basin	7	urn:uuid:da2d8c2f-e59c-46af-a9df-43d5a39119c6		Bombus occidentalis	Greene	occidentalis	Colorado	1977	idigbio	Bombus occidentalis	c(-747122.005311574, -732319.563393653)	Colorado Plateaus
	PreservedSpecimen	ENT		301	USA	Gunnison County	7	38.066	-108.537	1978-08-07	Bombus			NA		YPM	Queen Basin	8	urn:uuid:fff89b94-084f-41cd-a7a3-ec3e29d48b50		Bombus mixtus	Cresson	mixtus	Colorado	1978	idigbio	Bombus mixtus	c(-747122.005311574, -732319.563393653)	Colorado Plateaus
	PreservedSpecimen	CANY	c87a0756-fdd7-4cb6-9921-ca5774f8330e		United States	San Juan	22	38.086	-109.766	2000-04-22	Xylocopa			NA		NAUF	Salt Creek, closed road 6	4	97f9b0d1-f03d-4c97-9795-78f5169c8e78		Xylocopa tabaniformis	Smith, 1854	tabaniformis	Utah	2000	idigbio	Xylocopa tabaniformis	c(-853867.000592676, -718313.227232814)	Colorado Plateaus
	PreservedSpecimen	CPMAB	c87a0756-fdd7-4cb6-9921-ca5774f8330e		United States	Emery	3	38.587	-110.583	2000-05-03	Agapostemon			NA		NAUF	Gilson Butte	5	1d0bc1c9-c0a7-4459-9f37-5ca61ecd296c		Agapostemon texanus	Cresson, 1872	texanus	Utah	2000	idigbio	Agapostemon angelicus/texanus	c(-918220.83002205, -654272.245504082)	Colorado Plateaus
