associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Palo Pinto	31	32.89	-98.471	1990-08-31	Agapostemon			NA		TAMU	Possum Kingdom Reservoir	8	d42f09f3-5981-4a46-8f92-b48eaf3ece16	sweeping	Agapostemon melliventris	Cresson, 1874	melliventris	Texas	1990	idigbio	Agapostemon melliventris	c(143557.313113761, -1342782.17319262)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Erath	28	32.357	-98.021	1978-04-28	Lasioglossum			NA		TAMU	1 mile N Paluxy River, Bluff Dale	4	0d430e92-157e-4a7d-9be2-b34a6e74ddbe	Malaise trap	Lasioglossum coactum	(Cresson, 1872)	coactum	Texas	1978	idigbio	Lasioglossum coactum	c(187003.566340543, -1400828.98054981)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Erath	8	32.328	-98.066	1976-07-08	Lasioglossum			NA		TAMU	3 miles W Bluff Dale, bank of Paluxy River	7	ff4b1821-ac13-4b90-8b2e-e712772a069a	Malaise trap	Lasioglossum coactum	(Cresson, 1872)	coactum	Texas	1976	idigbio	Lasioglossum coactum	c(182815.948899864, -1404130.53602133)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Erath	30	32.293	-98.202	1980-05-30	Lasioglossum			NA		TAMU	5 miles N Stephenville	5	57ed561f-2142-4741-b010-f525f353adf8	Malaise trap	Lasioglossum coactum	(Cresson, 1872)	coactum	Texas	1980	idigbio	Lasioglossum coactum	c(170034.073188372, -1408277.70223138)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Palo Pinto	31	32.89	-98.471	1990-08-31	Agapostemon			NA		TAMU	Possum Kingdom Reservoir	8	027322e8-b279-47b1-92dc-71f763fb8104	sweeping	Agapostemon melliventris	Cresson, 1874	melliventris	Texas	1990	idigbio	Agapostemon melliventris	c(143557.313113761, -1342782.17319262)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Lampasas	21	31.064	-98.097	1997-04-21	Halictus			NA		TAMU	5 miles E Lampasas	4	ae19348c-a573-4f35-b8fb-76fc905ed068		Halictus ligatus	Say, 1837	ligatus	Texas	1997	idigbio	Halictus ligatus	c(182588.67564989, -1543781.51787571)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Coryell	7	31.435	-97.744	1937-07-07	Megachile			NA		TAMU	Gatesville	7	b5c5071f-36c0-47bf-aa9a-a3dcc80ca290		Megachile fortis	Cresson, 1872	fortis	Texas	1937	idigbio	Megachile fortis	c(215516.487025147, -1502015.98572982)	Cross Timbers
	PreservedSpecimen	RINVRT			United States	Marshall	28	33.875	-96.846	28 April 2012	Megachile	on Cornus drummondii flowers	Megachile mendica	NA		OMNH	Fobb Bottom Wildlife Management Area	4	urn:catalog:OMNH:RINVRT:21934		Megachile mendica	Cresson, 1878	mendica	Oklahoma	2012	idigbio	Megachile mendica	c(292473.339396464, -1229684.28643272)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Erath	1	32.293	-98.202	1980-06-01	Lasioglossum			NA		TAMU	5 miles N Stephenville	6	36f15d23-56e6-423a-aab3-9a556e4ac7ba	Malaise trap	Lasioglossum vierecki	(Crawford, 1904)	vierecki	Texas	1980	idigbio	Lasioglossum vierecki	c(170034.073188372, -1408277.70223138)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Bosque	24	31.985	-97.906	1968-05-24	Heriades			NA		TAMU	2 miles W Iredell	5	1088666b-4fb7-4342-a43f-a54c40a19a28		Heriades carinata	Cresson 1864	carinata	Texas	1968	idigbio	Heriades carinata	c(198750.176820573, -1441669.94094353)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Erath	29	32.328	-98.066	1976-07-29	Heriades			NA		TAMU	3 miles W Bluff Dale, bank of Paluxy River	7	6edeb7ed-1347-49f3-995f-7ddac0bc9e29	Malaise trap	Heriades variolosa	(Cresson)	variolosa	Texas	1976	idigbio	Heriades variolosa	c(182815.948899864, -1404130.53602133)	Cross Timbers
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Mills	4	31.451	-98.571		Bombus			NA		USNM	Goldthwaite	9	http://n2t.net/ark:/65665/3a9b112af-daaf-400e-afda-075bc86417a1		Bombus (Psithyrus) variabilis	(Cresson)	variabilis	Texas	1905	idigbio	Bombus variabilis	c(136498.736676495, -1501939.26095147)	Cross Timbers
	PreservedSpecimen				UNITED STATES	Marshall		33.886	-96.829	1966-02-05	Megachile			NA		UCD	Willis Point		urn:uuid:8538cb78-d8e1-11e2-99a2-0026552be7ea	General Collecting	Megachile brevis	Say,1837	brevis	Oklahoma	1966	idigbio	Megachile brevis	c(294008.211195913, -1228408.83160415)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Erath	5	32.357	-98.021	1978-05-05	Augochlorella			NA		TAMU	1 mile N Paluxy River, Bluff Dale	5	572837ac-5a9c-4558-bc4d-90b96a343433	Malaise trap	Augochlorella aurata	(Smith, 1853)	aurata	Texas	1978	idigbio	Augochlorella aurata	c(187003.566340543, -1400828.98054981)	Cross Timbers
	PreservedSpecimen			10-100	UNITED STATES	Cooke		33.488	-97.165	1904-03-25	Halictus			NA		UNHP	Valley View		urn:uuid:88709ae6-d8e1-11e2-99a2-0026552be7ea	Unknown	Halictus ligatus	Say,1837	ligatus	Texas	1904	idigbio	Halictus ligatus	c(264181.135384651, -1273533.80481356)	Cross Timbers
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Erath	16	32.354	-98.057	1976-07-16	Lasioglossum			NA		TAMU	3 miles W Bluff Dale, FM 1188	7	42cda099-075b-4411-aa95-18040f7be519	Malaise trap	Lasioglossum coactum	(Cresson, 1872)	coactum	Texas	1976	idigbio	Lasioglossum coactum	c(183609.126493352, -1401238.26482206)	Cross Timbers
