associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	301	United States	Pottawatomie	21	39.333	-96.3	1939-08-21	Megachile			NA		MSU		8	911a8b2f-fd7d-45e9-9757-b0df36593651		Megachile brevis	Say, 1837	brevis	Kansas	1939	idigbio	Megachile brevis	c(318483.137901611, -622790.594690431)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.257	-96.592	1965-05-01	Andrena			NA		RUAC	Tuttle Creek Lake		urn:uuid:853bf03c-d8e1-11e2-99a2-0026552be7ea	Netting	Andrena heraclei	Robertson,1897	heraclei	Kansas	1965	idigbio	Andrena heraclei	c(293695.411922443, -632301.69997668)	Flint Hills
associated with:Salix	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1909-05-02	Colletes			NA		AMNH	Manhattan		urn:uuid:8506b3cc-d8e1-11e2-99a2-0026552be7ea	Netting	Colletes inaequalis	Say,1837	inaequalis	Kansas	1909	idigbio	Colletes inaequalis	c(295820.928894813, -640329.607643319)	Flint Hills
associated with:Salvia pitcheri	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1907-08-27	Bombus			NA		AMNH	Manhattan		urn:uuid:849a8008-d8e1-11e2-99a2-0026552be7ea	Netting	Bombus pensylvanicus	(DeGeer,1773)	pensylvanicus	Kansas	1907	idigbio	Bombus pensylvanicus	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-08-01	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b9134-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum hitchensi	Gibbs,2012	hitchensi	Kansas	1963	idigbio	Lasioglossum hitchensi	c(295820.928894813, -640329.607643319)	Flint Hills
associated with:Liatris scariosa	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571		Bombus			NA		AMNH	Manhattan		urn:uuid:87d709e4-d8e1-11e2-99a2-0026552be7ea	Unknown	Bombus pensylvanicus	(DeGeer,1773)	pensylvanicus	Kansas		idigbio	Bombus pensylvanicus	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	6104	United States		22	39.184	-96.572	1939-08-22	Megachile			NA		MSU		8	1d8a5692-2436-40c4-bed0-1951fea15019		Megachile brevis	Say, 1837	brevis	Kansas	1939	idigbio	Megachile brevis	c(295734.719126413, -640333.166077319)	Flint Hills
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	6104	United States		28	39.184	-96.572	1948-08-28	Megachile			NA		MSU		8	99ab1aa1-7200-4ec8-84a7-95277836528e		Megachile brevis	Say, 1837	brevis	Kansas	1948	idigbio	Megachile brevis	c(295734.719126413, -640333.166077319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b18b2-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum imitatum	(Smith,1853)	imitatum	Kansas	1963	idigbio	Lasioglossum imitatum	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:85daf86c-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum imitatum	(Smith,1853)	imitatum	Kansas	1963	idigbio	Lasioglossum imitatum	c(295820.928894813, -640329.607643319)	Flint Hills
