associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	Ento	4	1000	United States		21	65.049	-146.048	1965-07-21	Halictus			NA		UAM	Chena Hot Springs	07	http://arctos.database.museum/guid/UAM:Ento:123284?seid=503113		Halictus rubicundus		rubicundus	Alaska	1965	idigbio	Halictus rubicundus	c(-2012755.20943531, 2876921.21678219)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	3000	United States		29	65.4	-145.967	1979-07-29	Bombus	T7NR8ESect36NE1/4 snowbed		NA		UAM	12 Mile Summit	07	http://arctos.database.museum/guid/UAM:Ento:131502?seid=1353449		Bombus mixtus		mixtus	Alaska	1979	idigbio	Bombus mixtus	c(-1983837.04942453, 2905543.52403335)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	5000	United States		22	65.295	-146.516	1950-07-22	Apis			NA		UAM	Mile 50 Steese Hwy	07	http://arctos.database.museum/guid/UAM:Ento:123441?seid=119148		Apis mellifera		mellifera	Alaska	1950	idigbio	Apis mellifera	c(-2011096.14130639, 2911484.45871531)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	500	United States		11	65.501	-145.383	1982-08-11	Bombus	T8NR11ESect24SE1/4, snow flush meadow, Poly.bist.		NA	sylvicola	UAM	109 mi Steese Hwy	08	http://arctos.database.museum/guid/UAM:Ento:130846?seid=1082524		Bombus lapponicus sylvicola		lapponicus	Alaska	1982	idigbio	Bombus sylvicola	c(-1955630.91113066, 2898562.70121091)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	500	United States		12	65.501	-145.383	1982-08-12	Bombus	T8NR11ESect24SE1/4, snow flush meadow, Pedi.sud.		NA		UAM	109 mi Steese Hwy	08	http://arctos.database.museum/guid/UAM:Ento:131048?seid=881683		Bombus mixtus		mixtus	Alaska	1982	idigbio	Bombus mixtus	c(-1955630.91113066, 2898562.70121091)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	5000	United States		16	65.448	-145.465	1982-07-16	Bombus	creek bed, Epliobium latifolium		NA		UAM	104 mi. Steese Hwy	07	http://arctos.database.museum/guid/UAM:Ento:132724?seid=1416372		Bombus mixtus		mixtus	Alaska	1982	idigbio	Bombus mixtus	c(-1962446.24866081, 2896099.07319538)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	3000	United States		13	64.783	-141.2	1963-08-13	Bombus			NA		UAM	Eagle	08	http://arctos.database.museum/guid/UAM:Ento:123340?seid=911633		Bombus flavifrons		flavifrons	Alaska	1963	idigbio	Bombus flavifrons	c(-1850801.22934197, 2724079.51574594)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	3000	United States		13	64.783	-141.2	1963-08-13	Bombus			NA		UAM	Eagle	08	http://arctos.database.museum/guid/UAM:Ento:123396?seid=818785		Bombus mckayi		mckayi	Alaska	1963	idigbio	Bombus mckayi	c(-1850801.22934197, 2724079.51574594)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	5000	United States		28	65.448	-145.465	1982-07-28	Bombus	weeds, Epilo.ang. & lat. & Sol. mul.		NA		UAM	104 mi. Steese Hwy	07	http://arctos.database.museum/guid/UAM:Ento:130791?seid=876535		Bombus frigidus		frigidus	Alaska	1982	idigbio	Bombus frigidus	c(-1962446.24866081, 2896099.07319538)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	500	United States			65.391	-146.002	1980-07-19/1980-07-20	Bombus	T7NR8ESect36NE1/4, alpine meadow		NA		UAM	84.5 mi. Steese Hwy		http://arctos.database.museum/guid/UAM:Ento:131210?seid=613398		Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-1985745.96859763, 2905712.04141619)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	3083	United States		14	65.232	-146.94	1968-07-14	Bombus			NA		UAM	Steese Highway mi 50, Moose Creek	07	http://arctos.database.museum/guid/UAM:Ento:78972?seid=1628993		Bombus mckayi		mckayi	Alaska	1968	idigbio	Bombus mckayi	c(-2030784.93140571, 2917824.60196065)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	3000	United States		29	65.4	-145.967	1979-07-29	Bombus	T7NR8ESect36NE1/4 snowbed		NA	sylvicola	UAM	12 Mile Summit	07	http://arctos.database.museum/guid/UAM:Ento:131510?seid=559163		Bombus lapponicus sylvicola		lapponicus	Alaska	1979	idigbio	Bombus sylvicola	c(-1983837.04942453, 2905543.52403335)	Interior Highlands and Klondike Plateau
