associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	ENT		1185	USA	Carbon County	10	45.197	-109.636	1964-07-10	Bombus			NA		YPM	East Rosebud Lake	7	urn:uuid:c99649a1-6870-448b-8cbd-b107bf3c638d		Bombus flavifrons	Cresson	flavifrons	Montana	1964	idigbio	Bombus flavifrons	c(-752808.004915452, 66812.1901920639)	Middle Rockies
	PreservedSpecimen				UNITED STATES	Teton		43.5	-110.767	1920-07-13/1920-07-17	Megachile			NA		AMNH	Jackson		urn:uuid:85318b92-d8e1-11e2-99a2-0026552be7ea	Netting	Megachile relativa	Cresson,1878	relativa	Wyoming	1920	idigbio	Megachile relativa	c(-865371.488917038, -109500.669193811)	Middle Rockies
	PreservedSpecimen	ENT		9545	USA	Sublette County	5	43	-109.679	1965-08-05	Bombus			NA		YPM	Elk Heart Park Road, 13 mi. N.E. of Pinedale	8	urn:uuid:1c88b0e8-8b98-4abf-98f5-f9e04ef01c61		Bombus mixtus	Cresson	mixtus	Wyoming	1965	idigbio	Bombus mixtus	c(-784950.504553347, -175795.272617514)	Middle Rockies
	PreservedSpecimen	ENT		2478	USA	Jefferson County	28	45.864	-112.161	1964-07-28	Bombus			NA		YPM	4 mi. S.E. of Pipestone Pass	7	urn:uuid:c1620305-180b-4f1c-bb47-9a153caa2229		Bombus appositus	Cresson	appositus	Montana	1964	idigbio	Bombus appositus	c(-937216.690890306, 166933.369938507)	Middle Rockies
	PreservedSpecimen	ENT		8055	USA	Gallatin County	3	44.775	-111.262	1964-07-03	Bombus			NA		YPM	11 mi. N.W. of West Yellowstone	7	urn:uuid:8f1e9a9e-8723-4aa0-a3ef-d56f46eac7e2		Bombus bifarius	Cresson	bifarius	Montana	1964	idigbio	Bombus bifarius	c(-885394.367683339, 36649.0439321601)	Middle Rockies
	preservedspecimen	USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml	500 meters	USA	Park		45.031	-110.72	2012-10-02		COM6		NA		BISON			http://www.discoverlife.org/mp/20l?id=USGS_DRO322805	trapType:pan trap; trapCount:30; trapVolume:bowl 3.25oz; trapColor:in field note; trapLiquid:in field note	Halictus confusus			Wyoming	2012	idigbio	Halictus confusus	c(-839347.209987461, 59139.5935627994)	Middle Rockies
	preservedspecimen	USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml	500 meters	USA	Park		45.031	-110.72	2012-10-02		COM6		NA		BISON			http://www.discoverlife.org/mp/20l?id=USGS_DRO322835	trapType:pan trap; trapCount:30; trapVolume:bowl 3.25oz; trapColor:in field note; trapLiquid:in field note	Halictus confusus			Wyoming	2012	idigbio	Halictus confusus	c(-839347.209987461, 59139.5935627994)	Middle Rockies
	preservedspecimen	USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)	https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml	500 meters	USA	Park		45.031	-110.72	2012-10-02		COM6		NA		BISON			http://www.discoverlife.org/mp/20l?id=USGS_DRO322868	trapType:pan trap; trapCount:30; trapVolume:bowl 3.25oz; trapColor:in field note; trapLiquid:in field note	Halictus confusus			Wyoming	2012	idigbio	Halictus confusus	c(-839347.209987461, 59139.5935627994)	Middle Rockies
	PreservedSpecimen	ENT		14202	USA	Madison County	2	45.193	-112.142	1964-07-02	Agapostemon			NA		YPM	Ruby River Reservoir, 9 mi. S. of Alder	7	urn:uuid:11c96de2-817e-4da1-9c77-8a0a2c9b9f98		Agapostemon texanus	Cresson	texanus	Montana	1964	idigbio	Agapostemon angelicus/texanus	c(-947002.16190767, 92740.8561039955)	Middle Rockies
	PreservedSpecimen	ENT		4140	USA	Broadwater County	28	46.321	-111.23	1964-06-28	Bombus			NA		YPM	14 mi. E. of Townsend	6	urn:uuid:00af7775-f78c-458b-9459-d970065422c7		Bombus occidentalis	Greene	occidentalis	Montana	1964	idigbio	Bombus occidentalis	c(-858943.013988627, 206942.921136899)	Middle Rockies
