associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	Insects			United States	Douglas		46.553	-91.576	1985-08-16	Bombus			NA		OSUC	Brule, Douglas Co., Wisconsin		urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__82168	none specified	Bombus terricola		terricola	Wisconsin		idigbio	Bombus terricola	c(642741.202252933, 206378.441314302)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Luce	31	46.368	-85.562	1964-05-31	Bombus			NA		MSU		5	22062100-efc4-4e2d-a2b2-9be58102ca9e	none specified	Bombus ashtoni	(Cresson, 1864)	ashtoni	Michigan	1964	idigbio	Bombus ashtoni	c(1100425.55106339, 251261.8288155)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Gogebic	11	46.268	-89.178	1955-07-11	Bombus			NA		MSU	Watersmeet	7	5801f58d-b800-4b1a-b0bc-ab0723a035de	none specified	Bombus ashtoni	(Cresson, 1864)	ashtoni	Michigan	1955	idigbio	Bombus ashtoni	c(828776.439645907, 196809.678001979)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Delta	30	45.758	-86.512	1965-08-30	Bombus			NA		MSU	T39N R18W sect 22	8	83abfd6b-de48-4d17-aa50-1a27653b89e4	none specified	Bombus borealis	Kirby, 1837	borealis	Michigan	1965	idigbio	Bombus borealis	c(1040323.36598702, 171561.517808252)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Alger	23	46.348	-86.929	1901-06-23	Bombus			NA		MSU	Chatham	6	271ee821-715f-485b-aab8-4927bb5fab7d	none specified	Bombus fervidus	(Fabricius, 1798)	fervidus	Michigan	1901	idigbio	Bombus fervidus	c(997816.521759184, 231195.038969826)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Marquette	8	46.535	-88.11	1936-08-08	Bombus			NA		MSU	Michigamme	8	4292571b-deb9-4564-bd24-f4a6d53ed7bf	none specified	Bombus ternarius	Say, 1837	ternarius	Michigan	1936	idigbio	Bombus ternarius	c(905425.546660786, 237796.019258818)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Mackinac	9	46.015	-85.008	1979-08-09	Bombus			NA		MSU	Little Brevort	8	efcf0547-efd4-4a09-bb32-0f03c7d44fb4	none specified	Bombus ternarius	Say, 1837	ternarius	Michigan	1979	idigbio	Bombus ternarius	c(1149397.81104344, 220278.398962686)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Dickinson	5	46.21	-87.898	1982-08-05	Bombus			NA		MSU	T44N R29W Sec. 14	8	1f3caa73-2a7b-4a64-a694-7408f76796d1	none specified	Bombus ternarius	Say, 1837	ternarius	Michigan	1982	idigbio	Bombus ternarius	c(926900.307449723, 204387.677168201)	Northern Lakes and Forests
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233		United States	Marquette	15	46.846	-87.849	1974-06-15	Bombus			NA		MSU	Huron Mountain Club	6	4dbf40de-5e0a-4415-8d18-61166fb76bb9	none specified	Bombus terricola	Kirby, 1837	terricola	Michigan	1974	idigbio	Bombus terricola	c(919823.40472906, 275043.127886151)	Northern Lakes and Forests
	PreservedSpecimen	Insects			United States	Douglas		46.553	-91.576	1985-08-16	Bombus			NA		OSUC	Brule, Douglas Co., Wisconsin		urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__82205	none specified	Bombus griseocollis		griseocollis	Wisconsin		idigbio	Bombus griseocollis	c(642741.202252933, 206378.441314302)	Northern Lakes and Forests
