associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
Sonchus arvensis	PreservedSpecimen	SEMC			Canada		31	50.11	-112.09	1971-07-31	Bombus			NA		KU	Taber, 20 mi N	7	24b65586-1ed6-11e3-bfac-90b11c41863e		Bombus (Pyrobombus) huntii		huntii	Alberta	1971	idigbio	Bombus huntii	c(-858784.627582661, 633761.145388865)	Northwestern Glaciated Plains
	PreservedSpecimen	BIOUG			Canada			49.19	-107.63	7/15/2008	Megachile	Grassland		NA		UOG	Grasslands NP|Butte Trail		08BBHYM-0023	Sweep Net	Megachile melanophaea Smith, 1853	Smith, 1853	melanophaea	Saskatchewan		idigbio	Megachile melanophaea	c(-553785.050885696, 492392.587793826)	Northwestern Glaciated Plains
	PreservedSpecimen	BIOUG			Canada			49.18	-107.68	7/17/2008	Megachile	Grassland		NA		UOG	Grasslands NP|West Block grasslands		08BBHYM-0151	Sweep Net	Megachile rotundata Fabricius, 1793	Fabricius, 1793	rotundata	Saskatchewan		idigbio	Megachile rotundata	c(-557510.864190135, 491635.063851428)	Northwestern Glaciated Plains
	PreservedSpecimen	BIOUG			Canada			49.15	-107.51	7/19/2008	Lasioglossum	Grassland		NA		UOG	Grasslands NP|Belza`s Ranch		08BBHYM-0870	Sweep Net	Lasioglossum prasinogaster Gibbs	Gibbs	prasinogaster	Saskatchewan		idigbio	Lasioglossum prasinogaster	c(-545542.44250702, 487134.379862697)	Northwestern Glaciated Plains
Helianthus petiolaris	PreservedSpecimen	SEMC			Canada		6	49.85	-112.73	1978-08-06	Dianthidium			NA	sayi	KU	Picture Butte, 3 mi SE	8	3637301d-1ed6-11e3-bfac-90b11c41863e		Dianthidium (Dianthidium) curvatum sayi		curvatum	Alberta	1978	idigbio	Dianthidium curvatum	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
	PreservedSpecimen	ENT		3972	Canada		14	49.829	-112.699	1982-06-14	Bombus			NA		YPM	3 mi. S.E. of Picture Butte	6	urn:uuid:cb42b40a-ea9a-466d-aa42-936b36f23575		Bombus nevadensis	Cresson	nevadensis	Alberta	1982	idigbio	Bombus nevadensis	c(-906782.227232613, 609656.486501869)	Northwestern Glaciated Plains
	PreservedSpecimen	SEMC			Canada		14	49.85	-112.73	1982-06-14	Agapostemon			NA		KU	Lethbridge, Picture Butte, 3 mi SE	6	46663f15-1ed6-11e3-bfac-90b11c41863e		Agapostemon (Agapostemon) virescens		virescens	Alberta	1982	idigbio	Agapostemon coloradinus/virescens	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
Astragalus tenellus	PreservedSpecimen	SEMC			Canada		14	49.85	-112.73	1982-06-14	Anthidium			NA		KU	Picture Butte, 3 mi SE	6	a430fcca-986c-4320-a324-2f41e961fe2d		Anthidium (Anthidium) tenuiflorae		tenuiflorae	Alberta	1982	idigbio	Anthidium tenuiflorae	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
	PreservedSpecimen	SEMC			Canada		1	50.05	-110.44	1971-08-01	Perdita			NA		KU	Medicine Hat; 10 mi E	8	17450c1a-1ed6-11e3-bfac-90b11c41863e		Perdita (Cockerellia) albipennis		albipennis	Alberta	1971	idigbio	Perdita albipennis	c(-743422.911473298, 610437.882772792)	Northwestern Glaciated Plains
Astragalus bisulcatus	PreservedSpecimen	SEMC			Canada		23	49.85	-112.73	1992-05-23	Anthophora			NA		KU	Picture Butte, 5 km SE	5	7757cf0c-494c-4cd5-9432-671f8a46b621		Anthophora (Melea) bomboides		bomboides	Alberta	1992	idigbio	Anthophora bomboides	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
	PreservedSpecimen	SEMC			Canada		28	50.4	-105.05	1972-07-28	Perdita			NA		KU	Moose Jaw, 21 mi W	7	1eb1a2e7-1ed6-11e3-bfac-90b11c41863e		Perdita (Perdita) laticincta		laticincta	Saskatchewan	1972	idigbio	Perdita laticincta	c(-358026.322398361, 611657.414701347)	Northwestern Glaciated Plains
	PreservedSpecimen	SEMC			Canada		8	49.483	-113.95	1974-08-08	Bombus			NA		KU	Pincher Creek, 15 mi W	8	59150f15-b034-4fee-9ccb-04f0c68de4a6		Bombus (Psithyrus) insularis		insularis	Alberta	1974	idigbio	Bombus insularis	c(-1001995.32395349, 586740.021275757)	Northwestern Glaciated Plains
